iata,name,city,state,latitude,longitude,routes
L92,Alamo Landing,Alamo,NV,37.36246083,-115.1944622,0
LAA,Lamar Muni,Lamar,CO,38.06969444,-102.6885,0
LAF,Purdue University,Lafayette,IN,40.41231694,-86.93689889,0
LAL,Lakeland Linder Regional,Lakeland,FL,27.98891667,-82.01855556,0
LAM,Los Alamos,Los Alamos,NM,35.87980194,-106.26941529999999,0
LAN,Capital City,Lansing,MI,42.7787,-84.58735806,4
LAR,Laramie Regional,Laramie,WY,41.31205,-105.67498640000001,0
LAS,McCarran International,Las Vegas,NV,36.08036111,-115.15233329999998,91
LAW,Lawton-Ft Sill Regional,Lawton,OK,34.56771444,-98.41663667,2
LAX,Los Angeles International,Los Angeles,CA,33.94253611,-118.40807439999999,90
LBB,Lubbock International,Lubbock,TX,33.66363889,-101.8227778,7
LBE,Arnold Palmer Regional,Latrobe,PA,40.275940000000006,-79.40479722,0
LBF,North Platte Regional,North Platte,NE,41.12621194,-100.6836542,0
LBL,Liberal Municipal,Liberal,KS,37.04420944,-100.9598611,0
LBO,Floyd W Jones Lebanon,Lebanon,MO,37.64718056,-92.65375778,0
LBT,Lumberton Municipal,Lumberton,NC,34.60991667,-79.05944444,0
LBX,Brazoria County,Angleton,TX,29.10863889,-95.46208056,0
LCG,Wayne Municipal,Wayne,NE,42.24188889,-96.98141667,0
LCH,Lake Charles Regional,Lake Charles,LA,30.126097499999997,-93.22340361,1
LCI,Laconia Municipal,Laconia,NH,43.57272806,-71.41890028,0
LCK,Rickenbacker International,Columbus,OH,39.81375917,-82.92786472,0
LCQ,Lake City Municipal,Lake City,FL,30.18205556,-82.57686111,0
LDJ,Linden,Linden,NJ,40.61744722,-74.24459417,0
LDM,Mason County,Ludington,MI,43.96253278,-86.40791528,0
LEB,Lebanon Municipal,Lebanon,NH,43.62637222,-72.30426722,0
LEE,Leesburg Regional,Leesburg,FL,28.82274417,-81.80900722,0
LEM,Lemmon Municipal,Lemmon,SD,45.91869722,-102.1061778,0
